time	V(comp_in)	V(out)	V(tube)
Step Information: Rpot=15K  (Step: 1/6)
0.000000000000000e+00	6.781196e-01	4.999906e+00	4.983538e+02
1.007310719976990e-05	6.781196e-01	4.999906e+00	4.983538e+02
2.031310719977066e-05	6.781196e-01	4.999906e+00	4.983538e+02
3.055310719977230e-05	6.781196e-01	4.999906e+00	4.983538e+02
4.079310719977393e-05	6.781196e-01	4.999906e+00	4.983538e+02
5.103310719977557e-05	6.781196e-01	4.999906e+00	4.983538e+02
6.127310719977704e-05	6.781196e-01	4.999906e+00	4.983538e+02
7.151310719977174e-05	6.781196e-01	4.999906e+00	4.983538e+02
8.175310719976644e-05	6.781196e-01	4.999906e+00	4.983538e+02
9.199310719976114e-05	6.781196e-01	4.999906e+00	4.983538e+02
1.022331071997558e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.124731071997505e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.227131071997452e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.329531071997399e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.431931071997346e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.534331071997293e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.636731071997240e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.739131071997187e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.841531071997134e-04	6.781196e-01	4.999906e+00	4.983538e+02
1.943931071997081e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.046331071997028e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.148731071996975e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.251131071996922e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.353531071996869e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.455931071996816e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.558331071996763e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.660731071996710e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.763131071996657e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.865531071996604e-04	6.781196e-01	4.999906e+00	4.983538e+02
2.967931071996551e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.070331071996498e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.172731071996445e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.275131071996392e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.377531071996339e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.479931071996286e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.582331071996233e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.684731071996180e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.787131071996127e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.889531071996074e-04	6.781196e-01	4.999906e+00	4.983538e+02
3.991931071996021e-04	6.781196e-01	4.999906e+00	4.983538e+02
4.094331071995968e-04	6.781196e-01	4.999906e+00	4.983538e+02
4.196731071995915e-04	6.781196e-01	4.999906e+00	4.983538e+02
4.299131071995862e-04	6.781196e-01	4.999906e+00	4.983538e+02
4.401531071995809e-04	6.781196e-01	4.999906e+00	4.983538e+02
